faculty|title|authors|date|journal|volume|issue|pages|publisher|description
David Bermudes|A culture-based method for determining the production of secreted protease inhibitors|David Quintero, David Bermudes|2014/5/1|Journal of microbiological methods|100||105-110|Elsevier|We have developed a culture-based method for determining the production of secreted protease inhibitors. The assay utilizes standard proteolysis detection plates to support microbial growth followed by infiltrating the plate with a protease and subsequently detecting the remaining protein by trichloroacetic acid (TCA) precipitation, or by bromocreosol green (BCG) or Ponseau S (PS) staining. The presence of a protease inhibitor can be observed in the form of a protected zone of protein around the protease inhibitor-producing strain. Using the protease inhibitors α-2-macroglobulin, aprotinin, leupeptin, and bestatin and the primary and secondary forms of Photorhabdus luminescens in combination with the protease trypsin, we were able to demonstrate that the assay is specific for the cognate inhibitor of the protease and for bacteria secreting protease inhibitors. In addition, when casein-containing plates were used … 
David Bermudes|Structure and function of the Toxoplasma gondii vacuole|Keith A Joiner, D Bermudes, A Sinai, H Qi, Vsevolod Polotsky, CJM Beckers|1996/10/1|Annals of the New York Academy of Sciences|797|1|1-7|Blackwell Publishing Ltd|Toxoplasma gondii is an obligate intracellular protozoan that resides within a specialized vacuole inside host cells. The vacuolar space and surrounding parasitophorous vacuole membrane (PVM) are the interface between the parasite and the host cell. Establishment and maintenance of the vacuole and PVM are dependent on temporally regulated secretion from three different secretory organelles, the rhoptries, micronemes, and dense granules. Understanding the process of secretion and the localization and function of secreted parasite proteins provides important insights into the pathogenesis of infections with T. gondii. For this reason, we have been studying the structure and function of the PVM and of secreted parasite proteins in the vacuolar space and membrane. Our initial results showed that the newly formed PVM is fusion incompetent, being incapable of fusing with any vesicular organelle of the host … 
David Bermudes|Isolation and Analysis of Suppressor Mutations in Tumor-Targeted msbB Salmonella|K Brooks Low, Sean R Murray, John Pawelek, David Bermudes|2016||||95-123|Humana Press, New York, NY|Tumor-targeted Salmonella offers a promising approach to the delivery of therapeutics for the treatment of cancer. The Salmonella strains used, however, must be stably attenuated in order to provide sufficient safety for administration. Approaches to the generation of attenuated Salmonella strains have included deletion of the msbB gene that is responsible for addition of the terminal myristol group to lipid A. In the absence of myristoylation, lipid A is no longer capable of inducing septic shock, resulting in a significant enhancement in safety. However, msbB Salmonella strains also exhibit an unusual set of additional physiological characteristics, including sensitivities to NaCl, EGTA, deoxycholate, polymyxin, and CO2. Suppressor mutations that compensate for these sensitivities include somA, Suwwan, pmrA C , and zwf. We describe here methods for isolation of strains with compensatory … 
David Bermudes|The genus Xenorhabdus: entomopathogenic bacteria for use in teaching general microbiology|David Bermudes, Kenneth H Nealson, Raymond Akhurst|1993|||||Journal of College Science Teaching|In our laboratory research during the past few years, the authors have been isolating and studying various species of insect-pathogenic bacteria in the genus Xenorhabdus. These appear to be excellent subjects for laboratory studies of microbiology, pathology/ parasitology, and symbiosis. In this paper, we present a brief description of these fascinating bacteria and their life cycle, followed by a protocol that can be easily adapted for classroom teaching. 
David Bermudes|Symbiosis in evolution: status of the hypothesis of the spirochete origin of undulipodia|L Margulis, D Bermudes, R Obar, G Tzertzinis|1986/9/1|Origins of Life and Evolution of Biospheres|16|3|319-319|Springer Netherlands|Without Abstract 
David Bermudes|Synergistic Cytarabine: Daunorubicin Ratios Delivered by CPX-351 to Human Leukemia Xenografts Is Associated with Liposome-Mediated Bone Marrow Drug Accumulation, Intracellular …|Lawrence Mayer, Wahseng Lim, Nancy Dos Santos, Sherwin Xie, Andrea Hopkins, Ruby Huang, Lindsey Wilkins, Sarah Kelly, David Bermudes, Troy Harasym, Paul Tardi|2008/11/16||112|11|942-942|American Society of Hematology|CPX-351, a liposomal formulation of cytarabine:daunorubicin co-encapsulated at a synergistic 5:1 molar drug ratio, has been previously shown to be highly active in various preclinical leukemia models. In the present investigations, we utilized a bone marrow engrafted human lymphocytic leukemia xenograft model in order to elucidate the pharmacodynamic basis for its superior efficacy compared to un-encapsulated cytarabine:daunorubicin combinations. In normal bone marrow, the un-encapsulated cytarabine:daunorubicin saline-based cocktail and CPX-351 provided comparable cell suppression after intravenous treatment at maximum tolerated dose. In contrast, when these formulations were administered to tumor bearing mice, CPX-351 completely ablated leukemia cells from the bone marrow for multiple weeks whereas the saline-based drug cocktail induced only transient leukemia suppression. Examination … 
David Bermudes|MOLECULAR-CLONING OF THE CDNA-ENCODING THE DENSE GRANULE PROTEIN GRA3 FROM TOXOPLASMA-GONDII|D Bermudes, JF Dubremetz, KA Joiner|1992/9/1||3||A208-A208|AMER SOC CELL BIOLOGY|
David Bermudes|Distribution and immunocytochemical localization of tubulin-like proteins in spirochetes|David Gordon Bermudes|1987||||||
David Bermudes|Tumor-Targeted Salmonella Expressing Cytosine Deaminase as an Anticancer Agent|David Bermudes, Michael Belcourt, Martina Ittensohn, Ivan King, Wenshang Lang, Trung Le, Zujin Li, Stanley L Lin, Xiang Luo, John Mao, Jeremy Pike, Jacob D Runyab, Kimberly Troy, Li-mou Zheng|2012|||||Mary Ann Liebert, Inc.|The study was designed to evaluate whether TAPET-CD, an attenuated strain of Salmonella typhimurium expressing Escherichia coli cytosine deaminase (CD), was capable of converting nontoxic 5-fluorocytosine (5- FC) to the active antitumor agent 5-fluorouracil (5-FU). The antitumor effect of TAPET-CD plus 5-FC against subcutaneously implanted colon tumors was also evaluated. TAPET-CD was given to tumor-bearing mice by a single bolus intravenous administration followed with 5-FC by intraperitoneal administration. TAPET-CD accumulated in tumors at levels 1000-fold higher than that in normal tissues and high levels of 5-FU were detected in tumors in mice treated with both TAPET-CD and 5-FC. No 5-FU could be detected in normal tissues. Inhibition of tumor growth was observed in mice treated with either TAPET-CD alone or TAPET-CD in combination with 5-FC (TAPET-CD/5-FC), but not with 5-FC alone. TAPET-CD/5-FC inhibited tumor growth by 88%-96%, compared to TAPET-CD alone, which inhibited tumor growth by 38%-79%. These data suggest that tumor-targeting Salmonella could be used to deliver prodrug-converting enzyme selectively to tumors and produced anti-tumor effects when the corresponding prodrug was also given. 
David Bermudes|Genetically modified salmonella typhimurium, vnp20009, a novel anticancer agent: Bio-distribution, genetic stability, selective tumor accumulation, and antitumor efficacy|C Clairmont, D Bermudes, M Ittensohn, J Pike, ZJ Li, X Lou, K Lee, LM Zheng, S Brecher, D Margitich, I King|1999/11/1||6|6|S11-S12|STOCKTON PRESS|
David Bermudes|Symbiosis and evolution: A brief guide to recent literature|Lynn Margulis, David Bermudes|1988||||159-165|Springer, Berlin, Heidelberg|We have recently explored the hypothesis that, in certain taxa, hereditary symbiosis is the major mechanism of origin of that taxon. The reader is referred to Taylor, 1983; Margulis and Bermudes, 1985; and Bermudes and Margulis, 1987. 
David Bermudes|Co-Expression of a Chimeric Protease Inhibitor Secreted by a Tumor-Targeted Salmonella Protects Therapeutic Proteins from Proteolytic Degradation|David Quintero, Jamie Carrafa, Lena Vincent, Hee Jong Kim, James Wohlschlegel, David Bermudes|2018|Journal of microbiology and biotechnology|28|12|2079-2094|한국미생물생명공학회 (구 한국산업미생물학회)|Sunflower trypsin inhibitor (SFTI) is a 14-amino-acid bicyclic peptide that contains a single internal disulfide bond. We initially constructed chimeras of SFTI with N-terminal secretion signals from the Escherichia coli OmpA and Pseudomonas aeruginosa ToxA, but only detected small amounts of protease inhibition resulting from these constructs. A substantially higher degree of protease inhibition was detected from a C-terminal SFTI fusion with E. coli YebF, which radiated more than a centimeter from an individual colony of E. coli using a culturebased inhibitor assay. Inhibitory activity was further improved in YebF-SFTI fusions by the addition of a trypsin cleavage signal immediately upstream of SFTI, and resulted in production of a 14-amino-acid, disulfide-bonded SFTI free in the culture supernatant. To assess the potential of the secreted SFTI to protect the ability of a cytotoxic protein to kill tumor cells, we utilized a tumor-selective form of the Pseudomonas ToxA (OTG-PE38K) alone and expressed as a polycistronic construct with YebF-SFTI in the tumor-targeted Salmonella VNP20009. When we assessed the ability of toxin-containing culture supernatants to kill MDA-MB-468 breast cancer cells, the untreated OTG-PE38K was able to eliminate all detectable tumor cells, while pretreatment with trypsin resulted in the complete loss of anticancer cytotoxicity. However, when OTG-PE38K was co-expressed with YebF-SFTI, cytotoxicity was completely retained in the presence of trypsin. These data demonstrate SFTI chimeras are secreted in a functional form and that co-expression of protease inhibitors with therapeutic proteins by tumor-targeted bacteria … 
David Bermudes|CPX-1, a liposome formulation containing a synergistic 1: 1 molar ratio of irinotecan and floxuridine, exhibits increased efficacy in combination with either bevacizumab (BEV …|Paul Tardi, Troy Harasym, David Bermudes, Laura Williams, Lindsey Wilkins, Lawrence Mayer|2009/5/1||69|||AMER ASSOC CANCER RESEARCH|CONCLUSIONS Combining CPX-1 with bevacizumab enhances anti-tumor activity despite reduced tumor liposome accumulation resulting from concurrent or prior anti-vascular therapy with bevacizumab. 
David Bermudes|Abstract# 4578: CPX-1, a liposome formulation containing a synergistic 1: 1 molar ratio of irinotecan and floxuridine, exhibits increased efficacy in combination with either …|Paul Tardi, Troy Harasym, David Bermudes, Laura Williams, Lindsey Wilkins, Lawrence Mayer|2009/5/1||69|9 Supplement|4578-4578|American Association for Cancer Research|A liposomal co-encapsulated formulation of irinotecan and floxuridine has been developed (CPX-1) that maintains circulating drug:drug molar ratios near 1:1 after intravenous administration for 24 hours and delivers the drugs at this ratio to solid tumors. This drug ratio consistently displayed synergy in a panel of tumor cell lines in vitro whereas increasing or decreasing the drug ratio lead to decreased synergy and the appearance of antagonism based on median-effect analysis. CPX-1 has demonstrated markedly superior therapeutic activity over the free irinotecan:floxuridine drug cocktails in a range of preclinical solid tumor models and in vivo efficacy was also shown to be drug ratio dependent. Given the prevalent use of biological agents in combination with chemotherapy for the treatment of metastatic CRC, we examined the effects of combining CPX-1 with BEV or CET in human CRC tumor xenografts with … 
David Bermudes|msbB deletion confers acute sensitivity to CO2 in Salmonella enterica serovar Typhimurium that can be suppressed by a loss-of-function mutation in zwf|David Bermudes, Martina Ittensohn, Manvel Kondradzhyan, K Brooks Low, Sean R Murray, Verena Karsten, Jeremy Pike, Kimberly Troy|2009|||||Biomed Central|Pathogens tolerate stress conditions that include low pH, oxidative stress, high salt and high temperature in order to survive inside and outside their hosts. Lipopolysaccharide (LPS), which forms the outer-leaflet of the outer membrane in Gram-negative bacteria, acts as a permeability barrier. The lipid A moiety of LPS anchors it to the outer membrane bilayer. The MsbB enzyme myristoylates the lipid A precursor and loss of this enzyme, in Salmonella, is correlated with reduced virulence and severe growth defects that can both be compensated with extragenic suppressor mutations. We report here that msbB (or msbB somA) Salmonella are highly sensitive to physiological CO2 (5%), resulting in a 3-log reduction in plating efficiency. Under these conditions, msbB Salmonella form long filaments, bulge and lyse. These bacteria are also sensitive to acidic pH and high osmolarity. Although CO2 acidifies LB broth media, buffering LB to pH 7.5 did not restore growth of msbB mutants in CO2, indicating that the CO2-induced growth defects are not due to the effect of CO2 on the pH of the media. A transposon insertion in the glucose metabolism gene zwf compensates for the CO2 sensitivity of msbB Salmonella. The msbB zwf mutants grow on agar, or in broth, in the presence of 5% CO2. In addition, msbB zwf strains show improved growth in low pH or high osmolarity media compared to the single msbB mutant. Conclusion: These results demonstrate that msbB confers acute sensitivity to CO2, acidic pH, and high osmolarity. Disruption of zwf in msbB mutants restores growth in 5% CO2 and results in improved growth in acidic media or in media with high … 
David Bermudes|A Novel, Genetically Stable Antibiotic-Sensitive Strain of Tumor-Targeting Salmonella for Parenteral Administration|Kenneth Brooks Low, Martina Ittensohn, Xiang Luo, Li-Mou Zheng, Ivan King, John M Pawelek, David Bermudes|2004|Suicide Gene Therapy: Methods and Reviews|90||47|PennWell Corporation|The engineering of tumor-targeting Salmonella strains bearing a high degree of both attenuation and tumor inhibition is a recently developed approach to vector-based treatment of cancer (1, 2). Tumor-targeted Salmonella have many desirable features for a tumor-selective delivery vehicle: 
David Bermudes|Antitumor activity and I-124PET imaging based on tumor-localized Salmonella|SA Soghomonyan, M Doubrovin, J Pike, M Ittensohn, J Runyan, Z Li, I King, JG Tjuvajev, R Blasberg, D Bermudes|2002/11/1||38||S143-S143|PERGAMON-ELSEVIER SCIENCE LTD|
David Bermudes|Salmonella-based tumor-targeted cancer therapy and imaging.|S Soghomonian, M Doubrovin, YX Luo, LM Zneny, J Pike, I King, D Bermudes, J Gelovani, R Blasberg|2002/5/1||43|5|69P-70P|SOC NUCLEAR MEDICINE INC|
David Bermudes|Tumor-selective delivery of cytosine deaminase by Salmonella typhimurium in murine tumor models|I King, S Lin, TX Le, TJ Pianta, MF Belcourt, X Luo, Z Li, D Bermudes, M Ittensohn, LM Zheng|2001/7/6||74|1-3|371-371|ELSEVIER SCIENCE BV|
David Bermudes|MICHAEL BELCOURT’, LI-MOU ZI—IENGi AND IVAN KING'|DAVID BERMUDES, K BROOKS LOWQ, JOHN PAWELEK, MING FENG|2001/7|Biotechnology and Genetic Engineering Reviews|18||||Cancer therapies fail for several primary reasons; lack of drug effect on the cancerous tissue, lack of selectivity for the cancerous tissue, and/or inadequate delivery to the target tissue. Drug effect and selectivity can be improved by increased understanding of molecular and cellular differences between cancer and normal tissues, thus enabling the design of drugs that potently affect cancer—speciﬁc molecular targets associated with malignant behaviour. Another approach is to improve the selective delivery of anticancer agents to tumours. One approach is to use carriers that bind to cancer~ speciﬁc targets, such as antibodies (Hall, 1995). However, most targeting approaches, even if selective, tend not to deliver sufﬁciently high concentrations of the agent to the tumour to induce signiﬁcant therapeutic effects. Recent ﬁndings suggest that the pathogenic bacterium Salmonella, when genetically modiﬁed, can be used … 
David Bermudes|Antitumor effect of VPN20009, an attenuated Salmonella, in murine tumor models.|David Bermudes, Martina Ittensohn, Ivan King, Zujin Li, Stanley L Lin, Xiang Luo, Jacob D Runyab, Shu-ying Shen, Li-mou Zheng|2001|||||Cognizant Communication Corp|VNP20009, a genetically modified strain of Salmonella typhimurium with deletions in the msbB and purl loci, exhibited antitumor activities when given systemically to tumor-bearing mice. VNP20009 inhibited the growth of subcutaneously implanted B16F10 murine melanoma, and the human tumor xenografts Lox, DLD-1, A549, WiDr, HTB177, and MDAMB- 231. A single intravenous injection of VNP20009, at doses ranging from 1 x 10(4) to 3 x 10(6) cfulrnouse, produced tumor growth inhibitions of 57-95%. Tumor volume doubling time, another indicator for tumor growth inhibition, also significantly increased in mice treated with VNP20009. Using mice with immune system deficiencies, we also demonstrated that the antitumor effects of VNP20009 did not depend on the presence ofT and B cells. In addition, VNP20009, given intravenously, inhibited the growth of lung metastases in mice. Only live bacteria showed the antitumor effect. 
David Bermudes|The application of attenuated Salmonella typhimurium for the treatment of solid tumors.|M Sznol, I King, D Bermudes, S Lin, LM Zheng, J Mao, C Clairmont, T Doyle|2000/11/1||6||4484S-4484S|AMER ASSOC CANCER RESEARCH|
David Bermudes|Panellus stypticus: Geographically separated interbreeding populations.|E Mohammadi Goltapeh, A Nikzad Gharehaghaji, S Masiha, HR Gordan, MMF Abdellah, MFZ Emara, TF Mohammady, MS Bhandal, KB Mehta, TJ Elliott, K Esser, R Blaich, M Fischer, A Bresinsky, TN Kaul, E Kay, R Vilgalys, AM Kligman, LM Larraya, M Alfonso, AG Pisabarro, L Ramirez, MJ Larsen, MT Banik, HH Burdsall, E Mohammadi Goltapeh, E Pourjam, RH Petersen, D Bermudes|2000|Pakistan Journal of Biological Sciences|10|14|281-293|orgz|Optimization of industrial mushroom production depends on improving the culture process and breeding new strains with higher yields and productivities. So many works have been done on process improvement, Although few systematic studies of genetic breeding of Pleurotus ostreatus strains have been reported. The major aim of hybridization is to combine desirable characteristics from different strains and create variability in the existing germ plasm. In this study, we used a breeding approach to hybrid production from cultivated Oyster mushrooms Pleurotus ostreatus. Five strains of Pleurotus ostreatus (Jacq: Fries) Kummer were used in this research. Basidiospores were suspended in sterile distilled water and counted with a haemocytometer. After germination, colony of each isolate transferred into the PDA medium. Growth rate and colony type of each isolate was determined and then 17 monokaryons were … 
David Bermudes|Tumor amplified protein expression therapy: salmonella as a tumor-selective.|David Bermudes, Ming Feng, Martina Ittensohn, Ivan King, Zujin Li, Stanley L Lin, Xiang Luo, Mark Trailsmith, Li-mou Zheng|2000|||||Oncology Research Featuring Preclinical and Clincal Cancer Therapeutics|Attenuated strains of Salmonella typhimurium, VNP20009 and YS7212, when injected systemically to tumor-bearing mice, accumulated preferentially in tumors at levels at least 200-fold and, more commonly, 1000-fold greater than in other normal tissues. This selectivity occurred in subcutaneously implanted murine tumors, including Bl6FIO melanoma, M127 lung carcinoma, and colon 38 carcinoma. The preferential accumulation was also manifested in animals bearing human tumor xenografts, including Lox, C8186, DLDl. SW620, HCT l l6. HTB 177, DU145. MDA-MB-231, and Caki. Four to five days after a single IV injection of l x lO' colony-forming unit (cfu)/mouse, we routinely detected VNP20009 proliferation and accumulation at levels ranging from l x 10" to 2 x to'' cfu/g tumor. The amount of VNP20009 accumulated in the liver ranged from 3 x 10' to 2 x 10" cfu/g. The distribution of Salmonella in tumors was homogenous; YS72l2 cnuld he detected from the periphery to the interior portion of the tumors. Using mice with various immunodeficiencies. we also discoverd the same preferential accumulation of Salmonella in tumors implanted in these mice. The use of Salmonella as a protein delivery vector was shown by IV administration of the bacteria expressing either green f1uorescent protein (GFP) or cytosine deaminase (CD) into tumor-bearing mice. GFP and CD were detected in tumors, but not in livers, taken from mice inoculated with Salmonella carrying these genes. Bacteria accumulation and CD expression persisted in the tumors for up to 14 days after a single bolus IV administration of bacteria to tumor- bearing mice. 
David Bermudes|Use of preferentially replicating bacteria for the treatment of cancer|David Bermudes, Ivan King, Stanley L Lin, Mario Sznol, Li-mou Zheng|2000|||||American Society for Clinical Investigation|About 40 years ago, the observation was made that conditions within experimental animal tumors could favor the preferential replication of bacteria. 9, 10) or, in the case of metastatic models, after small lung metastases were established (11), tumor growth was inhibited in most models for prolonged periods, in some cases up to 50–60 days. Several of the models showed improved survival times, but tumors eventually resumed growth, resulting in the death of the animals. The tumor site-related and systemic toxicities reported in preclinical studies of strictly anaerobic bacteria were not observed, although after a prolonged period, some subcutaneous tumors developed a central necrotic region. 
David Bermudes|Tumor-targeting Salmonella strains expressing endostatin have enhanced antitumor activity|C Clairmont, J Pike, ZJ Li, X Luo, LM Zheng, I King, D Bermudes|1999/11/1||6|6|S12-S12|STOCKTON PRESS|
David Bermudes|Activation of cyclophosphamide by tumor-targeting Salmonella typhimurium.|MF Belcourt, DJ Waxman, K Goss, I King, D Bermudes, S Lin|1999/11/1||5||3822S-3822S|AMER ASSOC CANCER RESEARCH|
David Bermudes|Tumor-targeted salmonella|KB Low, M Ittensohn, T Le, J Platt, S Sodi, M Amoss, O Ash, E Carmichael, A Chakraborty, J Fischer, SL Lin, X Luo, SI Miller, LM Zheng, I King, JM Pawelek, D Bermudes|1999/3/20||10|5|836-836|MARY ANN LIEBERT INC PUBL|
David Bermudes|Naked DNA dons new clothes|David Bermudes|1998/9|Nature biotechnology|16|9|818|Nature Publishing Group|Analysis. 
David Bermudes|The following have very kindly helped to referee papers submitted to Molecular and Biochemical Parasitology in the past two years. The editors are grateful to all these people …|R Eisenthal, J Bang, M Engetler, B Kappes, D Barker, DC Kaslow, P Barr, J Feagin, L Kasper, J Barrett, R Ferone, J Kelly, D Bermudes, M Field, DJ Kemp, S Beverley, C Fitch, I Khan, S Bhattacharya, M Foley, LV Kirchhoff, MJ Blackman, A Frasch, P Kohler, J Blackwell, C Frasch, N Kumar, C Blaineau, S Kumar, M Galinski, M Blaxter, J Geary Kusel, JC T Boothroyd, P Gerold, P Borst, W Gibson, SM Landfear, K Gull, M Lieppe, SC Cheng, K Haldar, D Cioli, R Hall, W MacMaster, CG Clark, BG Harris, S Madison-Antinucci, AB Clarkson, L Hedstrom, RM Maizels, D Conway, M Hollingdale, JE Manning, G Coombs, P Hotez, N Marshall, A Craig, R Howard, J Massoulie, J Crampton, J Hyde, J McBride, A Crisanti, M McConville, LA McReynolds, A Menon, S Meshnick, I Meza, M Miles, LH Miller, D Mirelman, JC Mottram, M Mowatt, M Muller, P Myler, D Narum, R Nelson, C Newbold, G Newport, V Nussenzweig, FR Opperdoes, P Overath, C Paddock, P Patnaik, E Pays, EJ Pearce, MEA Pereira, D Petersen, WA Petri, MA Phillips, R Pierce, W Piessons, L Pologe, P Preiser, P Rathod|1997|Molecular and Biochemical Parasitology|85|271|271-273||
David Bermudes|Melanoma/macrophage hybrids as models for melanoma metastasis: 189|M Rachkovsky, S Sodi, A Chakraborty, J Bolognia, J Madison, D Bermudes, J Pawelek|1997/1/1|Melanoma Research|7||S54|LWW|You may be trying to access this site from a secured browser on the server. Please enable scripts and reload this page. Journal Logo. Secondary Logo … 
David Bermudes|Tumor-targeted salmonella as a novel anti-melanoma vector: 491|JM Pawelek, KB Low, D Bermudes|1997/1/1|Melanoma Research|7||S141|LWW|You may be trying to access this site from a secured browser on the server. Please enable scripts and reload this page … 
David Bermudes|Melanoma/macrophage fusion hybrids: new models for solid tumor metastasis.|Michael Rachkovsky, Stefano Sodi, Ashok Chakraborty, Yael Avissar, Jean Bolognia, Jennifer Madison, David Bermudes, John Pawelek|1997|Journal of Investigative Dermatology|4|108|601||Almost half of 35 fusion hybrids generated between S91 mouse melanoma cells and normal mouse or human macrophages had enhanced metastatic potential in mice. Controls included parental S91 melanoma cells, S91 S91 autologous hybrids, and highly metastatic B16F10 melanoma cells. Cells were implanted s.c. in the tail, and mice were monitored for metastases over 6 months. A striking characteristic of the hybrids was heterogeneity among individual cell lines, with metastases generated in mice ranging from 0- 100% of animals, and basal melanin content from amelanotic to supermelanotic. Heterogeneity was further augmented in vivo in that hybrids stably melanotic after repeated passage in culture occasionally produced amelanotic metastases in mice. With few exceptions, hybrids had elevated basal tyrosinase activity and were much more responsive to MSH compared to parental controls. The most aggressive hybrids were supermelanotic and also markedly more motile than parental cells in vitro. Autologous S91 S91 hybrids were even less metastatic and less motile than parental cells. Histologically, the metastatic hybrids demonstrated vascular invasion and spread to distant organs similar to that of metastatic melanomas in mice and humans. The hybrids resembled natural melanoma metastases so closely that they should serve as useful new models for this complex phenomenon. 
David Bermudes|Co-expression of differentiated functions in highly metastatic melanoma/macrophage fusion hybrids.|JM Pawelek, SA Sodi, AK Chakraborty, YJ Avissar, SJ Orlow, ML Rachkovsky, S Rosemblat, A Keh-Yen, DG Bermudes, J Bolognia|1996|Journal of Investigative Dermatology|4|106|855||Hybrids formed in vitro between Cloudman S91 melanoma cells and normal peritoneal macrophages are highly metastatic in host DBA/2J mice compared to non-hybridized Cloudman cells that rarely metastasize. In order to better understand this phenomenon, we carried out analyses of 30 separately isolated melanoma/macrophage hybrid lines, focusing on expression of differentiated functions characteristic of macrophages or melanocytes. Findings were as follows. 1) Hybrids contained DNA sequences from both parental lines. 2) Hybrids were supermelanotic and highly responsive to MSH compared to parental Cloudman cells. 3) Hybrids expressed fluoride-sensitive non-specific esterase activity characteristic of monocytes and macrophages. 4) EM studies revealed that the hybrids had melanosomes with organized lattice structures, reminscent of those in normal melanocytes, whereas melanosomes in the parental cells were typically amorphous. 5) Western blotting studies revealed that in many of the hybrids the melanogenic proteins tyrosinase, TRP-1, and TRP-2, as well as the LAMP-1 protein migrated more slowly on electrophoretic gels than the analagous proteins expressed by parental melanoma cells. Further, LAMP-1 in hybrids migrated at an identical rate to that of macrophage LAMP-1. These differences were consistent with differences in protein glycosylation, as if a macrophage-like protein glycosyltransferase were expressed in the hybrids. In summary, hybrids formed between Cloudman melanoma cells and normal macrophages form highly aggressive tumors in mice, are supermelanotic, have normal appearing … 
David Bermudes|Macrophage characteristics of metastatic melanoma.|John Pawelek, Michael Rachkovsky, Stefano Sodi, Jean Bolognia, Ashok Chakraborty, Jennifer Madison, David Bermudes|1995|Journal of Investigative Dermatology|4|104|605||Since first proposed by Aichel (1911), expression of lymphocytic/monocytic traits has often been suggested as a mechanism for metastasis. Abilities to invade basment membranes and to home to lymph nodes, bone marrow, and distant organs are characteristics shared by lymphocytes, monocytes, and metastatic cancer cells alike. Previous studies showed that in vitro hybridization between normal lymphocytes or monocytes and transformed lymphoid cell lines resulted in increased agressiveness of the hybrid cells in vivo. However, such experiments had not been carried out with cells of solid tumor origin. Accordingly, we isolated clones of hybrids between normal mouse macrophages from DBA/2J mice and Cloudman S91 melanoma cells, using standard cell fusion and HAT selection techniques. Five hybrid clones were examined for their metastatic potential compared to the S91 parental cell line. First, in a Matrigel @ invasion assay, macrophage x melanoma hybrids showed increased abilities to cross an artificial biomatrix compared to S91 parental cells. Further, biomatrix invasion was dramatically increased in the hybrid clones but not in the parental S91 cells following exposure to MSH and IBMX. Second, in two separate experiments parental S91 cells and 5 macrophage x melanoma hybrids were inoculated s.c. into the tails of 20 DBA/2J mice. Mice inoculated with parental S91 cells did not die during the experiment and showed little or no evidence of metastases over 5 months. In contrast, mice inoculated with hybrids began dying of soft tissue and pulmonary metastases within 4-6 weeks (>30% of mice). Histologic sections … 
David Bermudes|Referee acknowledgement|JH Adams, Notre Dame, D Bermudes, E Didier, M Covington Dietrich, JF Hamburg Dubremetz, d'Ascq Villeneuve, DC Graves|1993|Parasitol Res|79||89||Page 1. Parasitol Res (1993) 79:89 Parasitnlogy Research 9 Springer-Verlag 1993 Referee acknowledgement The Editors should like to thank all scientists who supported the journal by serving as additional referees for articles submitted in 1992: Adams JH, Notre Dame Aeschlimann A, Neuchfitel Ahmed J, Berlin Andrews P, Leverkusen Arevalo J, College Station Asp6ck H, Wien Bailey GB, Atlanta Becker W, Hamburg Bermudes D, New Haven Bienzle U, Berlin B6ckeler W, Kiel Brun R, Basel Bfittner DW, Hamburg Cali A, Newark Canning EU, London Collins WE, Atlanta Conn B, Canton D'Haese J, Dfisseldorf Danforth HD, Beltsville Desser SS, Toronto Didier E, Covington Dietrich M, Hamburg Dubremetz JF, Villeneuve d'Ascq Diiwel D, Hofheim Eckert J, Ztirich Entzeroth R, Bonn Farell J, Philadelphia Ferguson DJP, Oxford Fernando MA, Guelph Frank W, Stuttgart Frevert U, Berlin … 
David Bermudes|It was reported previously (Macrae, 1937, 1942) that Panellus stypticus (Bull.: Fr.) Karst.|David Bermudes|1992|PERSOONIA|14|Part 4|458||MATERIALS AND METHODS Collections.—Cultures (single-spore assumed monokaryon, and polyspore assumed dikaryon) were established from the following collections: JAPAN. Gunma Pref., Lake Kusake, Tokyo University of Agriculture and Technology preserve, 26. IX. 1989, RHP 2300 
David Bermudes|Symbiosis. An introduction to biological associations: Vernon Ahmadjian and Surindar Paracer University Press of New England, Hanover, NH, 1986, 212 p.(US $32.50)|David Bermudes|1987/1/1||20|3|305|Elsevier|Overall, this is a well-written text on a fascinating subject; chapter by chapter it is likely to intrigue and educate. Symbiosis could be used as a text for an upper level undergraduate course in symbiosis or as a supplement to readings in botany, parasitology, cell biology or any of the many other fields with which it overlaps. 
David Bermudes|THE PROKARYOTIC ORIGIN OF UNDULIPODIA|D BERMUDES, L MARGULIS, G TZERTZINIS|1986/11/1||3|3|360-360|TUBINGEN UNIV PRESS ATTEMPTO VERLAG|
David Bermudes|Modes of change in the evolutionary record: Symbiosis as a mechanism of evolution|David Bermudes, Lynn Margulis|1986/9/1|Origins of Life and Evolution of Biospheres|16|3|348-348|Springer Netherlands|Without Abstract 
David Bermudes|Microbial contributions to the Precambrian Earth|L Margulis, D Bermudes, R Obar|1986/5/1||||||Life has existed on Earth for approximately 3.5 billion years. For most of this time, prokaryotic communities provided the major biological forces changing the Earth. Many changes in atmospheric gas composition occurred during the Archean and Proterozoic eons as a result of microbial activity. Extant microbial communities were used to help understand the dynamics which contributed to these atmospheric changes. The microbial mat communities were characterized according to the organismic constituents. Symbiosis in microbial communities is recognized as a major force in cell evolution. Among the evolutinary enigmas investigated is the problem of the origin of the undulipodia. Undulipodial microtubules are still deployed for major cellular processes such as mitosis and meiosis. Several prokaryotes were tested for the presence of the S1-type protein, so far only spirochetes were found to possess it. The S1-type protein is being sought in cyanobacteria reported to contain microtubules. 
